id,bloque,promesa,estado,severidad,verificacion,esfuerzo,lote,rama,dueno,autoridad_aceptacion,firmado_por,fecha_firma,evidencia_prod,archivo
A13-1,B4 A13,"Al APROBAR una sesion online, la reunion de Zoom SE CREA SOLA y se reservan las horas del contrato EN EL MISMO ACTO.",CONDITIONAL,P1,1-agent,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,NOTE: branch `fix/auth-sec2` is BEHIND `main` (main is not its ancestor; main has the Z7 merge 717c2c09). Verified against main where they differ. HOURS: pages/api/sessions/[id]/ap
A13-2,B4 A13,"Todas las superficies —notificacion, recordatorio, calendario, lista del espacio colaborativo— llevan a esta pantalla, que verifica los permisos cada ",BROKEN,P1,1-lens,L,BACKLOG-P1,,,,,,PENDIENTE,RE-CHECK PER ENTRY: correct. pages/meet/session/[id].tsx:162-192 resolves access in getServerSideProps on every request via lib/utils/session-meet-access.ts (canViewSession then th
A13-3,B4 A13,El boton «Unirse a la reunion» aparece SOLO PARA QUIEN CORRESPONDE.,READY,NONE,1-agent,,,,,,,,n/a,"The join list is strictly narrower than page visibility: attendees ∪ facilitators ∪ admins (lib/utils/meeting-join-policy.ts:12-17), and an active growth-community member who passe"
A13-4,B4 A13,"Si el colegio REPROGRAMA, la reunion de Zoom se mueve sola; si la CANCELA, se elimina sola.",CONDITIONAL,P2,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,Both legs are real and are enqueued only after the source write commits. Reschedule: pages/api/sessions/[id]/index.ts:518-526 — `enqueueSessionMeetingDelete` when the modality flip
A13-5,B4 A13,"La reunion se abre en un servicio externo a GENERA, en una pestana nueva.",READY,NONE,1-agent,,,,,,,,n/a,"components/sessions/JoinMeetingButton.tsx:906-909 renders exactly 'La reunión se abre en un servicio externo a GENERA, en una pestaña nueva.' whenever no embed is active — which is"
A13-6,B4 A13,"La Fundacion gestiona el calendario completo y lo exporta (tiles, Lista/Mes/Semana, filtros, + Nueva Sesion, Exportar Calendario).",READY,NONE,1-agent,,,,,,,,n/a,pages/admin/sessions/index.tsx (identical to main): tiles at :506-518 — 'Total Sesiones' / 'Programadas' / 'Pendientes' fed by server-wide counts from /api/sessions/stats (:464-469
A13-7,B4 A13,"Despues de la sesion, el consultor marca la asistencia y escribe su informe. EN ESE MOMENTO la hora reservada pasa a CONSUMIDA.",BROKEN,P0,2-lens,M,B4d,fix/sess-close,Brent,Consultor,,,PENDIENTE,"`completeReservation` (lib/services/hour-tracking.ts:498-540) is the ONLY writer of `contract_hours_ledger.status='consumida'` in the entire tree, and its only caller is pages/api/"
A13-8,B4 A13,"NO prometido: asistencia automatica desde Zoom, grabacion, transcripcion, ni Zoom embebido dentro de GENERA.",READY,NONE,1-agent,,,,,,,,n/a,ZOOM EMBEBIDO — the presenter was right and the flag is off by default IN CODE: lib/featureFlags.ts:5-8 returns `process.env['FEATURE_ZOOM_EMBED'] === 'true'` server-side and :19-2
A13-9,B4 A13,"Estados de sesion visibles: Programada, Completada, Cancelada, Penalizada.",READY,NONE,1-agent,,,,,,,,n/a,"lib/utils/session-ui-helpers.tsx:22-33 `getStatusBadge` maps programada→'Programada', completada→'Completada', cancelada→'Cancelada' (plus Borrador / Pendiente Aprobación / En Prog"
A14-1,B4 A14,"Reporte de Horas por colegio: contrato CT-2026-SMC-014, 120 horas, Consumidas 70.0 h / Reservadas 3.0 h / Disponibles 47.0 h / Contratadas 120.0 h",BROKEN,P0,1-lens,S,B1b,PR#50 fix/horas-rep,Brent,Directora,,,PENDIENTE,"On `main`, lib/services/school-hours-report.ts:133 selects `is_annexo` from `contratos`. That column does not exist: supabase/migrations/00000000000000_baseline.sql:7903 defines `"""
A14-2,B4 A14,"Desglose por bucket: Asesoria Tecnica Online, Asesoria Tecnica Presencial, Asesoria Directiva Online — cada uno con consumidas / reservadas / disponib",CONDITIONAL,P1,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,The UI is built exactly as described and is correct. components/hours/SchoolHoursReport.tsx:195-208 renders the three-cell grid labelled Consumidas / Reservadas / Disponibles; :210
A14-3,B4 A14,"Cuando un bucket baja del 25 por ciento disponible, la plataforma lo marca en ambar. Nadie se entera en diciembre de que se le acabaron las horas en s",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,FIRST HALF — TRUE. components/hours/SchoolHoursReport.tsx:43-47: `if (available <= 0) return 'exhausted'; if (allocated > 0 && (available / allocated) * 100 < 25) return 'warning';
A14-4,B4 A14,Descargar Reporte PDF y Descargar CSV funcionan y coinciden con la pantalla,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"TODAY, NEITHER BUTTON EXISTS. Both are inside `{data && data.programs.length > 0 && (...)}` (components/hours/SchoolHoursReport.tsx:525-542), and when the API 500s the component re"
A14-5,B4 A14,"Lado consultora: horas ejecutadas, penalizadas, total horas, tarifa EUR/h, Total EUR, Total CLP, con TC 897 CLP/EUR actualizado 22 ago 2026, filtro po",BROKEN,P1,1-agent,L,BACKLOG-P1,,,,,,PENDIENTE,"THE COMPONENT IS BUILT AND CORRECT. components/hours/ConsultantEarningsDashboard.tsx:389-411 renders exactly the promised columns — Tipo de Hora, Hs. Ejecutadas, Hs. Penalizadas, T"
A14-6,B4 A14,"Todo esto se abre sesion por sesion —fecha, consultor, horas, asistencia— y se descarga en PDF y en Excel",BROKEN,P1,1-lens,M,B4d,fix/sess-close,Brent,Directora,,,PENDIENTE,"Three of the four columns work. components/hours/SchoolHoursReport.tsx:224-271 is the drill-down table: Fecha (:242-246), Consultor (:247), Título, Horas (:249), Estado, Asistencia"
A14-7,B4 A14,El libro de horas es el mismo libro que sostiene la rendicion de la Ley SEP,MISSING,P1,1-agent,XL,BACKLOG-P1,,,,,,PENDIENTE,"Nothing in the repository connects the hours ledger to a Ley SEP rendición. The string 'Ley SEP' appears exactly once, as a subtitle on the procurement list: pages/licitaciones/ind"
A15-1,B4 A15,La Red Santa Marta es una ENTIDAD DE LA PLATAFORMA con sus ocho escuelas asignadas; pantalla Gestion de Redes con Total Redes / Escuelas Asignadas / S,BROKEN,P0,1-lens,S,B2a,fix/red-super,Brent,Madre Superiora,,,PENDIENTE,"The entity is real: supabase/migrations/00000000000000_baseline.sql:10491 defines `redes_de_colegios` (columns id, **nombre**, descripcion, created_by, created_at, updated_at, last"
A15-2,B4 A15,"Esto es lo que ve la supervisora de red cuando entra con su cuenta: Dashboard de Reportes con Acceso Nivel Red — Total Usuarios 21, Usuarios Activos 1",CONDITIONAL,P0,1-agent,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Madre Superiora,,,PENDIENTE,"The screen and the five KPI cards are real and in the promised order: pages/reports.tsx:348 title 'Dashboard de Reportes', :184 `setUserScope('Acceso Nivel Red')` for supervisor_de"
A15-3,B4 A15,"Tabs del dashboard: Resumen General, Analytics, Rutas de Aprendizaje, Comunidades, Escuelas, Cursos",BROKEN,P0,2-lens,L,B6c,fix/net-tabs,Brent,Madre Superiora,,,PENDIENTE,"All six tabs are rendered (pages/reports.tsx:376-383), so all six are clickable. Four of the six fail. [OK] Resumen General — pages/api/reports/overview.ts, network-scoped, works ("
A15-4,B4 A15,"Progreso de Usuarios: tabla por usuario con Usuario, Rol, Cursos, Completados, Tasa, Tiempo, Ultima Actividad, y Exportar",BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,"Every promised column is present, in order, in pages/reports.tsx:499-576: Usuario (name + email, clickable to the detail modal), Rol, Cursos, Completados, Tasa (StatusBadge with pr"
A15-5,B4 A15,"Reportes Detallados de Progreso: 'Datos Filtrados por Rol — Como supervisor_de_red, solo puedes ver datos de escuelas de tu red asignada' — el filtrad",READY,NONE,1-agent,,,,,,,,n/a,"The banner is literally that string: pages/detailed-reports.tsx:406-418 renders 'Como <strong>{userRole}</strong>, solo puedes ver datos de {getReportScopeDescription(userRole).toL"
A15-6,B4 A15,"Persona por persona, con su colegio al lado, su avance, sus tareas, sus lecciones, su tiempo — incluyendo 'en el curso de induccion Talca va en 71 por",CONDITIONAL,P1,1-agent,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"The per-person half is genuinely delivered, and on the page she will actually reach from the sidebar. pages/detailed-reports.tsx:686-760 renders one row per user with Usuario (name"
A15-7,B4 A15,Esto funciona 'desde UNA CUENTA' para la congregacion,CONDITIONAL,P0,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Madre Superiora,,,PENDIENTE,"The one-account model is what the code implements. A single `user_roles` row carrying role_type='supervisor_de_red' + red_id is the sole scope carrier, and every consumer derives t"
A15-8,B4 A15,"FUTURE_DISCLOSED: (a) el panel comparativo de la red — ocho colegios lado a lado en frecuencia, completitud y salud del proceso; 'los datos, el rol y ",FUTURE_DISCLOSED,P2,1-agent,,,,,,,,n/a,"Both are genuinely absent, so the disclosure itself was honest. (a) No comparison panel exists: grep for 'comparativ' across pages/, components/ and lib/ returns nothing; no screen"
B02-1,B5 B02-B03,"Siete pasos (Creacion, Publicacion, Bases, Propuestas, Evaluacion, Adjudicacion, Contrato) con estados verde/ambar/candado; es una maquina de estados ",READY,P2,1-agent,,,,,,,,n/a,"Stepper is exactly the seven promised labels: pages/licitaciones/[id].tsx:55-63. Visual states are real: green `bg-green-500` when `step.number < activeStep`, amber `bg-yellow-400`"
B02-2,B5 B02-B03,"La ficha de creacion (Numero LIC-2026-SMC-001, Programa, Ano, Correo, Monto min/max UF, Duracion min/max meses, Peso tecnico %, Peso economico %, Clie",BROKEN,P1,1-lens,M,BACKLOG-P1,,,,,,PENDIENTE,"Every named field exists on the form (pages/licitaciones/nueva.tsx): Escuela :320, Ano de Licitacion :336, Cliente vinculado preview with nombre legal/RUT/representante/comuna :356"
B03-1,B5 B02-B03,Cada plazo se calcula en DIAS HABILES CHILENOS: salta fines de semana y FERIADOS.,CONDITIONAL,P0,1-agent,S,B8b,fix/feriados,Brent + agente BD,Encargado Lic.,,,PENDIENTE,"The algorithm is correct. `isWeekend` (lib/businessDays.ts:23-26) and `isHoliday` (:32-35, date-only string compare) feed `addBusinessDays` (:43-53), which advances one calendar da"
B03-2,B5 B02-B03,Cadencia legal: Publicacion -> +5 dias bases -> +3 consultas -> +5 propuestas -> +3 evaluacion.,READY,NONE,1-agent,,,,,,,,n/a,"`calculateLicitacionTimeline` (lib/businessDays.ts:67-90) implements exactly the stated chain: `fecha_limite_solicitud_bases = addBusinessDays(fechaPublicacion, 5)` (:77), `fecha_l"
B03-3,B5 B02-B03,Panel 'Acciones Requeridas (1): LIC-2026-SMC-001 — Completar evaluacion' arriba del listado.,CONDITIONAL,P1,1-agent,L,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"The panel is real and matches the stage copy character for character. pages/licitaciones/index.tsx:417-437: heading `Acciones Requeridas ({actionableLicitaciones.length})` at :421,"
B03-4,B5 B02-B03,'Proximos Vencimientos (proximos 3 dias habiles): LIC-2026-SMC-001 — Plazo de evaluacion: 22/08/2026 HOY' en rojo. El problema viene a buscarte apenas,BROKEN,P2,1-lens,M,BACKLOG-P2,,,,,,PENDIENTE,The panel exists (pages/licitaciones/index.tsx:440-461) with the exact heading 'Próximos Vencimientos (próximos 3 días hábiles)' (:445) and a red bold `HOY` when `days_remaining ==
B03-5,B5 B02-B03,"El calendario legal lo lleva la plataforma, NO LA MEMORIA. ¿Quien se acuerda de los plazos? NADIE: los lleva la plataforma.",BROKEN,P1,1-lens,M,B8a,fix/lic-cron,Brent,Encargado Lic.,,,PENDIENTE,"There is no cron. `vercel.json` declares exactly four crons — `/api/cron/zoom-ticker` (* * * * *), `/api/cron/zoom-reconcile` (0 * * * *), `/api/cron/recovery-outbox` (* * * * *), "
B03-6,B5 B02-B03,"Filtros del listado: Estado, Ano, Programa, checkbox 'Mostrar historicas (licitaciones cerradas)'; columnas NUMERO, NOMBRE, ESTADO, ACCION REQUERIDA, ",BROKEN,P2,1-agent,S,BACKLOG-P2,,,,,,PENDIENTE,Everything named is present. Checkbox 'Mostrar históricas' with the '(licitaciones cerradas)' sub-label: pages/licitaciones/index.tsx:472-484. Filters: Estado :486-500 (options fro
B04-1,B5 B04-B08,"Comision Evaluadora: tres miembros con Nombre (obligatorio), RUT y Cargo; mas Datos de la Reunion (fecha, hora inicio, hora fin).",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"Form is exactly as demoed: pages/licitaciones/[id]/evaluacion.tsx:184-188 fixes 3 committee slots; :711-765 renders Nombre (marked *), RUT (Chilean RUT validated via utils/rutValid"
B04-2,B5 B04-B08,"Los criterios tecnicos suman cien puntos (experiencia ATE, metodologia, experiencia de profesionales, recursos, evaluacion de otros sostenedores), cad",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"Configurable: yes — pages/admin/licitaciones/criterios.tsx + pages/api/admin/licitaciones/criterios.ts (admin-only, :42-44) do full CRUD on programa_evaluacion_criterios; DELETE is"
B04-3,B5 B04-B08,"El ranking en tiempo real se recalcula solo, ya ponderado 70 tecnica / 30 economica; columnas ATE, Tec., Eco., T.Pond., E.Pond., Total, con el lider d",READY,NONE,1-agent,,,,,,,,n/a,"pages/licitaciones/[id]/evaluacion.tsx:100-161 RankingPanel renders exactly the six promised columns (:129-133 'Tec.', 'Eco.', 'T.Pond.', 'E.Pond.', 'Total') and stars the leader ("
B04-4,B5 B04-B08,"La plataforma genera el Acta de Reunion en Word desde la plantilla del programa, igual que las Bases y la Carta de Adjudicacion.",CONDITIONAL,P1,1-agent,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"All three produce genuine .docx via the `docx` package: lib/actaGenerator.ts:494 `Packer.toBuffer(doc)`, lib/cartaGenerator.ts:191, lib/docxGenerator.ts:655; each API uploads with "
B04-5,B5 B04-B08,"El acta se firma, se sube, y recien ahi el estado avanza. No hay atajo.",READY,NONE,1-agent,,,,,,,,n/a,Hard server-side prerequisite: lib/licitacionService.ts:623-639 — before allowing evaluacion_pendiente -> adjudicacion_pendiente it counts licitacion_documentos WHERE tipo = 'evalu
B05-1,B5 B04-B08,"Las carpetas del Archivo Historico: Publicaciones, Bases, Propuestas, Evaluacion, Adjudicacion, Anexos — mas la constancia de rendicion de la Ley SEP.",READY,NONE,1-agent,,,,,,,,n/a,"components/licitaciones/ArchiveView.tsx:21-29 defines the buckets in order: Publicaciones (publicacion_imagen), Bases (bases_generadas + bases_enviadas), Propuestas (propuesta), Ev"
B05-2,B5 B04-B08,Cada archivo tiene registrado quien lo subio y cuando. No hay documentos anonimos ni versiones sueltas.,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The data IS captured: licitacion_documentos.uploaded_by REFERENCES profiles(id) + created_at (migration TABLE 9); every writer sets it — upload.ts:178, generate-acta.ts:197, genera"
B05-3,B5 B04-B08,"PDF, Word o imagen — hasta 25 MB (restriccion mostrada en pantalla).",BROKEN,P1,1-lens,L,BACKLOG-P1,,,,,,PENDIENTE,"On-screen text matches: components/licitaciones/ArchiveView.tsx:210 'PDF, Word o imagen · hasta 25 MB'; components/licitaciones/Step7Contrato.tsx:280 'PDF, Word o imagen — max 25 M"
B05-4,B5 B04-B08,"Arriba hay un boton DESCARGAR TODO: baja un ZIP con la licitacion completa, ordenada en las mismas carpetas numeradas.",BROKEN,P1,1-lens,M,BACKLOG-P1,,,,,,PENDIENTE,"The API is sound and does NOT silently drop missing files: pages/api/licitaciones/[id]/download-zip.ts enforces RBAC + school scope (:74-96), guards total size (:113-124, :155-161)"
B05-5,B5 B04-B08,"Si manana llega el Ministerio y pide la carpeta de la licitacion 2022, la respuesta es un clic.",BROKEN,P2,1-lens,S,BACKLOG-P2,,,,,,PENDIENTE,"Readability is fine: a 'cerrada' record is selectable by the encargado regardless of estado (RLS policy licitaciones_encargado_select scopes only on school_id, migration 2026022004"
B06-1,B5 B04-B08,Las antiguas no se pierden: se importan con sus documentos y quedan guardadas como archivo historico ('Importar historica').,CONDITIONAL,P1,1-agent,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,The button exists and works for both roles: pages/licitaciones/index.tsx:395-402 'Importar historica' -> pages/licitaciones/importar.tsx; POST /api/licitaciones with estado='cerrad
B06-2,B5 B04-B08,"Se exporta a Excel con diecinueve columnas: la ATE que se adjudico, el monto, el contrato asociado.",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"Nineteen columns is exact — lib/licitacionesExport.ts:52-72 lists Numero, Escuela, Programa, Nombre, Estado, Ano, Fecha Publicacion, Fecha Limite Bases, Fecha Limite Propuestas, Fe"
B06-3,B5 B04-B08,"Cuando cambia la direccion de un colegio, este historial no se va con nadie. Se queda en el colegio.",BROKEN,P1,1-agent,L,BACKLOG-P1,,,,,,PENDIENTE,A HARD DELETE ENDPOINT EXISTS AND IS WIRED TO A BUTTON. pages/api/licitaciones/[id].ts:154-211 handleDelete removes every storage object (:188-194) then `.delete()` on licitaciones
B07-1,B5 B04-B08,"Se adjudica y de ahi sale el contrato ya pre-cargado: el cliente, el programa, el monto en UF. Nadie vuelve a tipear esos datos.",READY,NONE,1-agent,,,,,,,,n/a,"components/licitaciones/Step7Contrato.tsx:163-172 navigates to /contracts?tab=nuevo&licitacion_id=<id>, enabled only when the carta de adjudicacion is uploaded (:128-131). pages/co"
B08-1,B5 B04-B08,"Este modulo lo ven solo dos: la Fundacion y el Encargado de Licitacion de cada colegio, que ve y opera solo el suyo. Con equipo directivo, ustedes no ",READY,NONE,1-agent,,,,,,,,n/a,"SIDEBAR: components/layout/Sidebar.tsx:528 gates the whole 'Gestion' group with restrictedRoles ['admin','community_manager','encargado_licitacion'] and :584 gates the 'Procesos' i"
B08-2,B5 B04-B08,Ese rol lo asigna el propio equipo directivo del colegio.,READY,NONE,1-agent,,,,,,,,n/a,"utils/roleUtils.ts:442-448 SCHOOL_SCOPED_ROLES includes 'encargado_licitacion'; :471 ED_ASSIGNABLE_ROLES = SCHOOL_SCOPED_ROLES; :513-518 ED_CREATE_USER_ROLES = ['docente','equipo_d"
QA-1,B5 B04-B08,"¿Donde estan las facturas? En el modulo de contratos, por cuota, con marca de pagada. No dentro de licitaciones.",REFUTED,NONE,1-lens,,,,,,,,n/a,"The feature itself exists and is per-cuota: public.cuotas carries factura_url, factura_pagada, factura_filename, factura_size, factura_type, factura_uploaded_at and pagada (supabas"
QA-2,B5 B04-B08,¿Y si me equivoco al cargar un documento? Queda registrado quien subio que y cuando; se corrige subiendo la version correcta.,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The correction half works: there is no uniqueness constraint on (licitacion_id, tipo) in licitacion_documentos (migration TABLE 9 — only two non-unique indexes), pages/api/licitaci"
SWEEP-NONFUNCTIONAL-BUNDLE-WEIGHT,cross,"Regla del proyecto (CLAUDE.md): «debe funcionar en hardware escolar antiguo (navegadores de gama baja, pantallas pequeñas)».",BROKEN,P2,1-agent,S,BACKLOG-P2,,,,,,PENDIENTE,"Measured from the committed build (.next/build-manifest.json, uncompressed bytes summed over every chunk the manifest lists for the route): /reports 1,304 KB /detailed-reports 962 "
SWEEP-NONFUNCTIONAL-DEADLINE-ALERTS,cross,«Notificaciones automáticas de plazos» en licitaciones — panel «Próximos Vencimientos» con marcas HOY / mañana. «Nada se pasa.»,BROKEN,P1,1-lens,L,BACKLOG-P1,,,,,,PENDIENTE,"Three independent breaks, all on main. (a) THE EMAIL IS A TODO STUB. lib/notificationService.ts:1131-1137: ``` async handleEmailNotification(notificationData, notificationId, frequ"
SWEEP-NONFUNCTIONAL-EMAIL-DELIVERABILITY-INFRA,cross,El correo del resumen de reunión y las alertas de plazo llegan a las casillas institucionales de los ocho colegios.,MISSING,P1,1-agent,L,BACKLOG-P1,,,,,,PENDIENTE,"No bounce handling, no retry, no suppression list, no delivery evidence for any of the emails the deck promises. BOUNCES. pages/api/webhooks/resend.ts is the only Resend webhook in"
SWEEP-NONFUNCTIONAL-EMAIL-FROM-CONTRACT,cross,El correo sale «de GENERA» a los correos institucionales de los colegios.,BROKEN,P0,1-lens,S,B3b,fix/mail-truth,Brent,Ingeniería,,,PENDIENTE,"One env var, `EMAIL_FROM_ADDRESS`, is consumed with two mutually incompatible contracts: • BARE-ADDRESS contract — lib/emailService.js:8 `const FROM_EMAIL = process.env.EMAIL_FROM_"
SWEEP-NONFUNCTIONAL-EMAIL-MEETING-SUMMARY,cross,«Al finalizar la reunión se envía un resumen por correo a toda la comunidad» — con acuerdos y compromisos (responsable + plazo).,BROKEN,P0,1-lens,M,B3b,fix/mail-truth,Brent,Directora,,,PENDIENTE,lib/emailService.js:37-48 — `await resend.emails.send({...}); sent += 1;`. The return value is discarded. node_modules/resend/dist/index.js:350-388 (`fetchRequest`) proves the SDK 
SWEEP-NONFUNCTIONAL-ERROR-SURFACES-REPORTES,cross,Las pantallas de la Madre Ana María: `/reports` «Resumen General · Acceso Nivel Red» y `/detailed-reports` «Escuelas de tu red asignada».,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,Raw English API text is rendered straight to the user on both of the two screens the deck designates as the supervisora's working surfaces. /detailed-reports: pages/detailed-report
SWEEP-NONFUNCTIONAL-LICITACIONES-ES-CL,cross,"Bloque 5 · «Impecabilidad administrativa»: el módulo de Licitaciones Ley SEP y los documentos oficiales que genera (Bases, Acta de Reunión, Carta de A",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"The licitaciones module has essentially no Spanish accents, and neither do two of the three official Word documents it produces. UI — accented-character line counts per file: pages"
SWEEP-NONFUNCTIONAL-OBSERVABILITY,cross,"Implícito en «las directoras entran la próxima semana»: si algo se rompe un lunes a las 8am, alguien se entera.",BROKEN,P1,1-lens,S,B1a,fix/observ,Brent,Privacidad,,,PENDIENTE,"Sentry is fully configured and never initialised. sentry.client.config.ts, sentry.server.config.ts and sentry.edge.config.ts all exist and are substantial (sampling, PII scrubbing,"
SWEEP-NONFUNCTIONAL-PRIVACY-RBAC,cross,Ley 21.719: ningún dato personal de estudiantes se expone; cada rol ve solo lo que le corresponde.,READY,P2,1-agent,,,,,,,,n/a,"No student-identifiable data can appear on any surface shown, and the network scoping is correctly implemented — verified rather than assumed. NO STUDENT ROLE EXISTS. types/roles.t"
SWEEP-NONFUNCTIONAL-PROD-SECRETS-UNIGNORED,cross,"Higiene operativa del entorno de demo creado para la jornada (no es una promesa a las directoras, pero condiciona la semana 1).",BROKEN,P1,1-agent,S,BACKLOG-P1,,,,,,PENDIENTE,`.env.local.prod-backup-20260822` sits untracked in the working tree (`git status` lists it as `??`) and is NOT ignored: `git check-ignore -v .env.local.prod-backup-20260822` exits
SWEEP-NONFUNCTIONAL-RESPONSIVE,cross,"Pantallas densas (Reporte de Horas, Sesiones de Consultoría, stepper de licitaciones de 7 pasos, Reportes Detallados) usables en pantallas pequeñas.",READY,P2,1-agent,,,,,,,,n/a,"Checked directly; the small-screen handling is real, not assumed. Shell: components/layout/MainLayout.tsx has a genuine mobile drawer — :222 `window.innerWidth >= 1024` breakpoint,"
SWEEP-ONBOARDING-DATA-01,cross,"""Lo que les voy a mostrar son PANTALLAS REALES, con DATOS DE PRUEBA"" + ""ustedes van a entrar LA PROXIMA SEMANA""",CONDITIONAL,P0,1-agent,XL,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"The screens were driven by `scripts/demo/seed-sm/` (6 modules, ~250KB of TypeScript) writing 73 distinct tables. `scripts/demo/seed-sm/lib.ts:18` defines LOCAL_HOSTS = {127.0.0.1, "
SWEEP-ONBOARDING-DATA-02,cross,Ocho colegios van a entrar a la plataforma (implica crear las cuentas de directoras y docentes),BROKEN,P1,1-lens,M,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"`main` is what auto-deploys. On `main`, `pages/api/admin/bulk-create-users.ts:547-550` reads `let finalPassword = globalPassword || userData.password; if (!finalPassword || finalPa"
SWEEP-ONBOARDING-DATA-03,cross,Las directoras van a recibir su acceso a la plataforma,REFUTED,NONE,2-lens,,,,,,,,n/a,Neither admin-driven creation path sends any e-mail. `pages/api/admin/bulk-create-users.ts` imports no mail transport on either branch; its only output is `credentials` in the HTTP
SWEEP-ONBOARDING-DATA-04,cross,"Contrato CT-2026-SMC-014, programa Evolucion Cultural, y el proceso de licitacion LIC-2026-SMC-001 mostrados en pantalla",REFUTED,NONE,1-lens,,,,,,,,n/a,`programas` is the parent of both `contratos.programa_id` and `programa_bases_templates.programa_id` / `programa_evaluacion_criterios`. Every reference to it in the application is 
SWEEP-ONBOARDING-DATA-05,cross,"Panel de resultados de evaluaciones y plan de migracion por nivel, por colegio",BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,`ab_grades` is the level catalogue (Medio Menor … 4° Medio). `supabase/migrations/00000000000000_baseline.sql:5676-5708` creates the table and its sequence; the file contains no CO
SWEEP-ONBOARDING-DATA-06,cross,Reportes de aprendizaje y avance de rutas formativas (pantallas /reports y /mi-aprendizaje de la Madre y de la docente),BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"`scripts/demo/seed-sm/60-lms.ts:641-712` does not seed data — it CREATES DATABASE OBJECTS: `create or replace view user_learning_path_summary` (line 642), `create or replace view l"
SWEEP-ONBOARDING-DATA-07,cross,La Madre Superiora entra como Lider de Red y ve los ocho colegios; la directora ve su colegio y su licitacion,CONDITIONAL,P1,1-agent,S,B9b,DATOS — sin merge,SIN ASIGNAR — BLOQUEANTE,Onboarding,,,PENDIENTE,"The public sign-up form's school list is derived by exact name match: `lib/signups.ts:6` `SANTA_MARTA_NETWORK_NAME = 'Santa Marta'`, `lib/signups.ts:101-120` selects `redes_de_cole"
SWEEP-PRIOR-AUDIT-01,cross,«main consulta contratos.is_annexo; la columna real es is_anexo» — el informe previo dice que PR #50 lo corrige pero sigue sin fusionar.,CONDITIONAL,P0,1-agent,S,B1b,PR#50 fix/horas-rep,Brent,Ingeniería,,,PENDIENTE,"TRUE. En main, `git show main:lib/services/school-hours-report.ts` declara `is_annexo` en el tipo (línea 60), lo pide en el `.select()` (línea 133) y lo mapea (línea 321). El esque"
SWEEP-PRIOR-AUDIT-02,cross,«el gate de cobertura puede impedir un envío válido y puede puntuar respuestas obsoletas» y «fix/gate-score contiene ambas correcciones pero no tiene ,CONDITIONAL,P0,1-agent,M,B1c,fix/gate-score,Brent,Ingeniería,,,PENDIENTE,"TRUE, ambas mitades. `git diff main...fix/gate-score` toca exactamente 5 archivos: `pages/api/docente/assessments/[instanceId]/submit.ts` (+27/-9) y `lib/services/assessment-builde"
SWEEP-PRIOR-AUDIT-03,cross,«las notificaciones de plazo de licitación solo corren cuando un usuario autorizado abre una página de licitaciones» y «vercel.json solo agenda trabaj,BROKEN,P1,1-agent,M,BACKLOG-P1,,,,,,PENDIENTE,"TRUE, literalmente. `lib/licitacionDeadlineChecker.ts:4` dice «Page-load deadline reminder system (no cron)». Los dos únicos disparadores son `pages/licitaciones/index.tsx:168` y `"
